,MONTHLY REPORT ON FUEL SUPPLY FOR GAS BASED POWER STATIONS IN THE COUNTRY
,For the month of MAY 2010
S. No,Name of,Installed,Located,Gas *,Gas,Gas Supplied/,Alternate,Gen Loss due,Remarks
 14,DHOLPUR CCPP,330.00 RAJASTHAN,212.66,1.58,1.43,1.35,0.00,0.00,0.00
 15,RAMGARH CCPP,113.80 RAJASTHAN,27.53,1.18,0.75,0.63,0.00,4.99,0.00
,Sub Total (NR),1044.20,583.85,5.65,5.09,4.63,0.00,4.99,0.00
 16,DHUVARAN CCPP,218.62 GUJARAT,64.81,1.05,0.80,1.07,0.00,0.00,0.00
 17,HAZIRA CCPP,156.10 GUJARAT,96.79,0.75,0.80,0.69,0.00,0.00,0.00
 18,UTRAN CCPP,518.00 GUJARAT,221.56,2.49,1.93,1.43,0.00,0.00,0.00
 19,URAN CCPP,912.00 MAHARASHTRA,507.84,4.38,4.90,3.76,0.00,0.00,115.61
,Sub Total (WR),1804.72,891.00,8.67,8.43,6.95,0.00,0.00,115.61
 20,KARAIKAL CCPP,32.50 PUDUCHERRY,17.43,0.16,0.15,0.15,0.00,0.00,5.98
 21,KOVIKALPAL CCPP,107.00 TAMIL NADU,49.61,0.51,0.31,0.31,0.00,0.00,30.00
 22,KUTTALAM CCPP,100.00 TAMIL NADU,53.81,0.48,0.34,0.34,0.00,0.00,0.00
 23,NARIMANAM GPS,10.00 TAMIL NADU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Power station is not operating.
 24,VALUTHUR CCPP,186.20 TAMIL NADU,32.53,0.89,0.42,0.22,0.00,0.00,0.00
,Sub Total (SR),435.70,153.38,2.04,1.22,1.02,0.00,0.00,35.98
 25,LAKWA GT,120.00 ASSAM,65.47,0.84,0.94,0.93,0.00,0.00,0.00
 26,NAMRUP GT,73.00 ASSAM,36.66,0.43,0.54,0.50,0.00,0.00,2.85
 27,NAMRUP ST,24.00 ASSAM,8.50,0.14,0.12,0.23,0.00,0.00,0.67
 28,NAMRUP WHP,22.00 ASSAM,5.88,0.00,0.00,0.00,0.00,0.00,0.00,Being waste heat recovery unit,it
,does not require gas.
 29,BARAMURA GT,37.50 TRIPURA,14.18,0.26,0.24,0.20,0.00,0.00,0.00
 30,ROKHIA GT,90.00 TRIPURA,37.25,0.63,0.60,0.71,0.00,0.00,0.00

,1
S. No,Name of,Installed,Located,Gas *,Gas,Gas Supplied/,Alternate,Gen Loss due,Remarks
,Power Station,Capacity @,in the,Gen,Requirement,Allotted,Consumed +,fuel used(KL),to short supply
,(MW),State,(MUs),at 90% PLF,(MMSCMD),(MMSCMD),of Gas as reported
,(MMSCMD),Naphtha,HSD,(MUs)
,Sub Total (NER),366.50,167.94,2.30,2.44,2.57,0.00,0.00,3.52
,Total (SS),3651.12,1796.17,18.66,17.18,15.17,0.00,4.99,155.11
PVT SECTOR
 31,VATWA CCPP,100.00 GUJARAT,70.40,0.48,0.49,0.50,0.00,0.00,0.00
 32,TROMBAY CCPP,180.00 MAHARASHTRA,135.63,0.86,0.90,0.90,0.00,0.00,2.71
,Sub Total (WR),280.00,206.03,1.34,1.39,1.40,0.00,0.00,2.71
,Total (PVT S),280.00,206.03,1.34,1.39,1.40,0.00,0.00,2.71
PVT IPP SECTOR
 33,BARODA CCPP,160.00 GUJARAT,106.40,0.77,0.75,0.75,0.00,0.00,0.19
 34,ESSAR CCPP,515.00 GUJARAT,227.59,2.47,1.49,2.03,0.00,0.00,0.00,Allocation of gas is for 300 MW capacity.

 35,PEGUTHAN CCPP,655.00 GUJARAT,417.41,3.14,2.83,2.73,0.00,0.00,0.00
 36,SUGEN CCPP,1147.50 GUJARAT,819.97,5.51,5.16,4.62,0.00,0.00,0.00
,Sub Total (WR),2477.50,1571.37,11.89,10.23,10.13,0.00,0.00,0.19
 37,GAUTAMI CCPP,464.00 ANDHRA PRADESH,298.72,2.23,1.73,1.95,0.00,0.00,0.00
 38,GODAVARI CCPP,208.00 ANDHRA PRADESH,143.17,1.00,0.99,0.99,0.00,0.00,0.00
 39,JEGURUPADU CCPP,455.40 ANDHRA PRADESH,287.12,2.19,2.10,1.95,0.00,0.00,0.81
 40,KONASEEMA CCPP,280.00 ANDHRA PRADESH,179.03,1.95,1.86,1.86,0.00,0.00,0.00
 41,KONDAPALLI EXTN CCPP .,233.00 ANDHRA PRADESH,103.11,1.62,1.59,1.04,0.00,0.00,0.00
 42,KONDAPALLI CCPP,350.00 ANDHRA PRADESH,126.51,1.68,1.75,0.91,0.00,0.00,24.22
 43,PEDDAPURAM CCPP,220.00 ANDHRA PRADESH,136.24,1.06,0.93,0.93,0.00,2.00,0.00
 44,VEMAGIRI CCPP,370.00 ANDHRA PRADESH,244.23,1.78,1.48,1.48,0.00,0.00,0.00
 45,KARUPPUR CCPP,119.80 TAMIL NADU,58.01,0.58,0.50,0.38,0.00,0.00,0.00
 46,P.NALLUR CCPP,330.50 TAMIL NADU,212.62,1.59,1.01,1.01,10527.00,3.00,0.00
 47,VALANTARVY CCPP,52.80 TAMIL NADU,32.81,0.25,0.27,0.26,0.00,0.00,0.46
,Sub Total (SR),3083.50,1821.57,15.93,14.21,12.76,10527.00,5.00,25.49
 48,DLF ASSAM GT,24.50 ASSAM,5.66,0.12,0.17,0.09,0.00,0.00,6.15
,Sub Total (NER),24.50,5.66,0.12,0.17,0.09,0.00,0.00,6.15
,Total (PVT IPP S),5585.50,3398.60,27.94,24.61,22.98,10527.00,5.00,31.83
,GRAND TOTAL,15769.27,8878.01,78.09,67.75,63.46,10601.19,28.82,205.00
,@ Installed Capacity is as on last day of the month
,* Normative gas requirement at 90 % PLF taking GCV of gas=9000k.Cal/SCM (except for Ramgarh CCGT for which GCV is 4150 kCal/SCM),station
,heat rate - 2900 k.Cal/kWh for open cycle and 2000 k.Cal/kWh for combined cycle.
,+ Including R-LNG

,MUs,-,Million Units
,MMSCMD,-,Million Standard Cubic Metres
,HSD,-,High Speed Diesel
,KL,- Kilo Litre




,2

