,MONTHLY REPORT ON FUEL SUPPLY FOR GAS BASED POWER STATIONS IN THE COUNTRY
,For the month of JUN 2010
S. No,Name of,Installed,Located,Gas *,Gas,Gas Supplied/,Alternate,Gen Loss due,Remarks
 14,DHOLPUR CCPP,330.00 RAJASTHAN,211.12,1.58,1.50,1.38,0.00,0.00,0.00
 15,RAMGARH CCPP,113.80 RAJASTHAN,22.21,1.18,0.75,0.44,0.00,0.66,0.00
,Sub Total (NR),1044.20,579.29,5.65,5.23,4.61,0.00,0.66,0.00
 16,DHUVARAN CCPP,218.62 GUJARAT,64.20,1.05,0.82,0.43,0.00,0.00,0.00
 17,HAZIRA CCPP,156.10 GUJARAT,87.86,0.75,0.80,0.65,0.00,0.00,0.00
 18,UTRAN CCPP,518.00 GUJARAT,231.26,2.49,1.84,1.52,0.00,0.00,0.00
 19,URAN CCPP,912.00 MAHARASHTRA,469.49,4.38,4.90,3.68,0.00,0.00,126.32
,Sub Total (WR),1804.72,852.81,8.67,8.36,6.28,0.00,0.00,126.32
 20,KARAIKAL CCPP,32.50 PUDUCHERRY,17.14,0.16,0.15,0.16,0.00,0.00,5.51
 21,KOVIKALPAL CCPP,107.00 TAMIL NADU,48.46,0.51,0.32,0.32,0.00,0.00,28.36
 22,KUTTALAM CCPP,100.00 TAMIL NADU,46.35,0.48,0.31,0.31,0.00,0.00,0.00
 23,NARIMANAM GPS,10.00 TAMIL NADU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Power station is not in operation
 24,VALUTHUR CCPP,186.20 TAMIL NADU,0.00,0.89,0.00,0.00,0.00,0.00,Both the units are under shut down
,Sub Total (SR),435.70,111.95,2.04,0.78,0.79,0.00,0.00,33.87
 25,LAKWA GT,120.00 ASSAM,59.84,0.84,0.94,0.85,0.00,0.00,5.49
 26,NAMRUP CCPP,95.00 ASSAM,41.39,0.43,0.58,0.57,0.00,0.00,2.19
 27,NAMRUP ST,24.00 ASSAM,4.67,0.14,0.08,0.10,0.00,0.00,0.30
 28,BARAMURA GT,37.50 TRIPURA,14.46,0.26,0.24,0.21,0.00,0.00,0.00
 29,ROKHIA GT,90.00 TRIPURA,37.43,0.63,0.60,0.62,0.00,0.00,0.00
,Sub Total (NER),366.50,157.79,2.30,2.44,2.35,0.00,0.00,7.98

,1
S. No,Name of,Installed,Located,Gas *,Gas,Gas Supplied/,Alternate,Gen Loss due,Remarks
,Power Station,Capacity @,in the,Gen $,Requirement,Allotted,Consumed+,fuel used(KL),to short supply
,(MW),State,(MUs),at 90% PLF,(MMSCMD),(MMSCMD),of Gas as reported
,(MMSCMD),Naptha,HSD,(MUs)
,Total (SS),3651.12,1701.84,18.66,16.81,14.03,0.00,0.66,168.17
PVT SECTOR
 30,VATWA CCPP,100.00 GUJARAT,69.91,0.48,0.49,0.52,0.00,0.00,0.00
 31,TROMBAY CCPP,180.00 MAHARASHTRA,128.71,0.86,0.90,0.90,0.00,0.00,6.24
,Sub Total (WR),280.00,198.62,1.34,1.39,1.42,0.00,0.00,6.24
,Total (PVT S),280.00,198.62,1.34,1.39,1.42,0.00,0.00,6.24
PVT IPP SECTOR
 32,BARODA CCPP,160.00 GUJARAT,68.60,0.77,0.45,0.50,0.00,0.00,0.20
 33,ESSAR CCPP,515.00 GUJARAT,148.00,2.47,1.54,1.86,0.00,0.00,0.00,Allocation of gas is for 300 MW
,capacity.

 34,PEGUTHAN CCPP,655.00 GUJARAT,362.52,3.14,2.53,2.50,0.00,0.00,0.00
 35,SUGEN CCPP,1147.50 GUJARAT,734.61,5.51,5.16,4.57,0.00,0.00,0.00
,Sub Total (WR),2477.50,1313.73,11.89,9.68,9.43,0.00,0.00,0.20
 36,GAUTAMI CCPP,464.00 ANDHRA PRADESH,285.22,2.23,1.69,1.88,0.00,0.00,0.00
 37,GODAVARI CCPP,208.00 ANDHRA PRADESH,140.67,1.00,1.01,1.01,0.00,0.00,0.00
 38,JEGURUPADU CCPP,455.40 ANDHRA PRADESH,291.19,2.19,2.14,2.07,0.00,0.00,0.31
 39,KONASEEMA CCPP #,445.00 ANDHRA PRADESH,175.00,2.14,1.33,1.33,0.00,0.00,0.00
 40,KONDAPALLI EXTN CCPP .,233.00 ANDHRA PRADESH,101.37,1.62,1.59,1.12,0.00,0.00,0.00
 41,KONDAPALLI CCPP,350.00 ANDHRA PRADESH,228.16,1.68,1.75,1.55,0.00,0.00,27.01,Gen. loss due to short supply of gas
,by GAIL
 42,PEDDAPURAM CCPP,220.00 ANDHRA PRADESH,142.77,1.06,1.00,1.00,0.00,2.00,0.00
 43,VEMAGIRI CCPP,370.00 ANDHRA PRADESH,193.03,1.78,1.20,1.20,0.00,0.00,0.00
 44,KARUPPUR CCPP,119.80 TAMIL NADU,51.85,0.58,0.50,0.35,0.00,0.00,0.00
 45,P.NALLUR CCPP,330.50 TAMIL NADU,215.78,1.59,1.07,1.07,10293.24,4.00,0.00
 46,VALANTARVY CCPP,52.80 TAMIL NADU,31.31,0.25,0.27,0.26,0.00,0.00,0.36
,Sub Total (SR),3248.5,1856.35,16.12,13.55,12.84,10293.24,6.00,27.68
 47,DLF ASSAM GT,24.50 ASSAM,5.34,0.12,0.17,0.09,0.00,0.00,7.83
,Sub Total (NER),24.50,5.34,0.12,0.17,0.09,0.00,0.00,7.83
,Total (PVT IPP S),5750.5,3175.42,28.13,23.40,22.36,10293.24,6.00,35.71
,GRAND TOTAL,15934.27,8232.68,78.32,64.36,58.80,10403.97,9.15,226.25
,@ Installed Capacity is as on last day of the month
,* Normative gas requirement at 90 % PLF taking GCV of gas=9000k.Cal/SCM (except for Ramgarh CCGT for which GCV is 4150 kCal/SCM),station
,heat rate - 2900 k.Cal/kWh for open cycle and 2000 k.Cal/kWh for combined cycle.
,+ Including R-LNG
,$ Provisional based on daily generation.
,#Konaseema CCPP (ST)165 MW commissioned in 30th June 2010.



,MMSCMD,-,Million Standard Cubic Metre per day
,MUs,-,Million Units
,KL,-,Kilo Litre
,HSD,-,High Speed Diesel
,- Data not available



,2

