Date,Hour,EGS Energy (MWh),Default Energy (MWh), Total Energy (MWh)
1/8/09,12,3.03742,1776.00529,1779.04271
1/8/09,13,2.9552,1738.18693,1741.14213
1/8/09,14,2.92646,1719.43241,1722.35887
1/8/09,15,2.94693,1695.25046,1698.19739
1/8/09,16,3.06038,1780.8293,1783.88968
1/8/09,17,3.62836,2065.17117,2068.79953
1/8/09,18,4.42658,2461.18792,2465.6145
1/8/09,19,4.69831,2684.37168,2689.06999
1/8/09,20,4.71289,2651.93541,2656.6483
1/8/09,21,4.55078,2594.57132,2599.1221
1/8/09,22,4.41116,2532.76682,2537.17798
1/8/09,23,4.01615,2313.88563,2317.90178
1/8/09,24,3.37549,2063.50882,2066.88431
1/9/09,1,3.08126,1904.30255,1907.38381
1/9/09,2,2.79793,1743.18902,1745.98695
1/9/09,3,2.7401,1714.41207,1717.15217
1/9/09,4,2.73823,1680.30052,1683.03875
1/9/09,5,2.84746,1740.57343,1743.42089
1/9/09,6,3.12435,1836.15294,1839.27729
1/9/09,7,3.62456,2135.1878,2138.81236
1/9/09,8,3.80328,2263.25261,2267.05589
1/9/09,9,3.43719,2076.51792,2079.95511
1/9/09,10,3.06058,1859.78659,1862.84717
1/9/09,11,3.10516,1844.52403,1847.62919
1/9/09,12,3.13536,1846.24097,1849.37633
1/9/09,13,3.16163,1783.32667,1786.4883
1/9/09,14,3.0759,1804.73708,1807.81298
1/9/09,15,3.14115,1842.8676,1846.00875
1/9/09,16,3.32647,1913.1757,1916.50217
1/9/09,17,3.65884,2150.2646,2153.92344
1/9/09,18,4.3328,2451.55075,2455.88355
1/9/09,19,4.63751,2561.78232,2566.41983
1/9/09,20,4.45284,2527.81066,2532.2635
1/9/09,21,4.39422,2467.95091,2472.34513
1/9/09,22,4.35762,2403.883,2408.24062
1/9/09,23,3.99974,2277.03871,2281.03845
1/9/09,24,3.66107,2061.5165,2065.17757
1/10/09,1,3.30275,1858.52625,1861.829
1/10/09,2,3.07072,1740.4858,1743.55652
1/10/09,3,2.89854,1668.2087,1671.10724
1/10/09,4,2.89846,1646.59456,1649.49302
1/10/09,5,2.77091,1596.66874,1599.43965
1/10/09,6,2.84612,1674.59766,1677.44378
1/10/09,7,3.02839,1761.30605,1764.33444
1/10/09,8,3.33255,1931.85632,1935.18887
1/10/09,9,3.61626,2061.05819,2064.67445
1/10/09,10,3.76915,2141.56662,2145.33577
1/10/09,11,3.90758,2251.54447,2255.45205
1/10/09,12,3.98308,2267.69488,2271.67796
1/10/09,13,3.92089,2264.19894,2268.11983
1/10/09,14,3.87335,2237.32213,2241.19548
1/10/09,15,3.7778,2147.57774,2151.35554
1/10/09,16,4.02234,2256.69547,2260.71781
1/10/09,17,4.37553,2415.52414,2419.89967
1/10/09,18,4.89827,2607.9724,2612.87067
1/10/09,19,5.06348,2744.16083,2749.22431
1/10/09,20,4.91979,2687.79236,2692.71215
1/10/09,21,4.69111,2569.30813,2573.99924
1/10/09,22,4.49844,2430.42134,2434.91978
1/10/09,23,4.19129,2285.44806,2289.63935
1/10/09,24,3.70344,2115.41256,2119.116
1/11/09,1,3.29049,1871.44912,1874.73961
1/11/09,2,2.9849,1652.05836,1655.04326
1/11/09,3,2.88978,1564.6066,1567.49638
1/11/09,4,2.72658,1572.67042,1575.397
1/11/09,5,2.72669,1531.85243,1534.57912
1/11/09,6,2.69733,1562.77494,1565.47227
1/11/09,7,2.95213,1592.26393,1595.21606
1/11/09,8,3.224,1888.72064,1891.94464
1/11/09,9,3.67889,2144.77906,2148.45795
1/11/09,10,3.97564,2317.13479,2321.11043
1/11/09,11,4.20306,2436.35094,2440.554
1/11/09,12,4.34216,2486.65991,2491.00207
1/11/09,13,4.41739,2515.18814,2519.60553
1/11/09,14,4.30842,2482.23663,2486.54505
1/11/09,15,4.21746,2397.87339,2402.09085
1/11/09,16,4.14499,2384.6163,2388.76129
1/11/09,17,4.55112,2532.17569,2536.72681
1/11/09,18,5.11651,2842.30542,2847.42193
1/11/09,19,5.27852,2958.23038,2963.5089
1/11/09,20,5.27845,2963.36761,2968.64606
1/11/09,21,5.01274,2760.73487,2765.74761
1/11/09,22,4.75299,2617.27082,2622.02381
1/11/09,23,4.32922,2432.57723,2436.90645
1/11/09,24,3.70602,2095.45796,2099.16398
1/12/09,1,3.36262,1886.18645,1889.54907
1/12/09,2,3.1663,1797.85555,1801.02185
1/12/09,3,3.1046,1792.40008,1795.50468
1/12/09,4,3.0918,1814.09802,1817.18982
1/12/09,5,3.12064,1791.76988,1794.89052
1/12/09,6,3.34082,1927.40212,1930.74294
1/12/09,7,3.93953,2289.71151,2293.65104
1/12/09,8,4.18835,2437.0278,2441.21615
1/12/09,9,3.74179,2201.30491,2205.0467
1/12/09,10,3.44494,2023.97726,2027.4222
1/12/09,11,3.3908,1970.39067,1973.78147
1/12/09,12,3.36306,1941.08991,1944.45297
1/12/09,13,3.2096,1802.20942,1805.41902
1/12/09,14,3.13934,1779.46088,1782.60022
1/12/09,15,3.11526,1777.62977,1780.74503
1/12/09,16,3.46852,1930.49026,1933.95878
1/12/09,17,3.94802,2154.25086,2158.19888
1/12/09,18,4.81814,2580.77606,2585.5942
1/12/09,19,5.07388,2770.11581,2775.18969
1/12/09,20,5.05691,2767.98618,2773.04309
1/12/09,21,4.88012,2701.43505,2706.31517
1/12/09,22,4.56782,2514.1521,2518.71992
1/12/09,23,4.20373,2307.92207,2312.1258
1/12/09,24,3.61576,2027.84781,2031.46357
1/13/09,1,3.16119,1744.83706,1747.99825
1/13/09,2,2.95155,1786.78137,1789.73292
1/13/09,3,2.92273,1674.40755,1677.33028
1/13/09,4,2.83526,1685.16085,1687.99611
1/13/09,5,2.89968,1741.50269,1744.40237
1/13/09,6,3.19975,1853.58217,1856.78192
1/13/09,7,3.81107,2226.08979,2229.90086
1/13/09,8,3.97715,2317.44204,2321.41919
1/13/09,9,3.64219,2059.59293,2063.23512
1/13/09,10,3.22745,1874.07033,1877.29778
1/13/09,11,3.18805,1775.71571,1778.90376
1/13/09,12,3.2216,1883.54266,1886.76426
1/13/09,13,3.09098,1756.68965,1759.78063
1/13/09,14,2.95599,1671.60659,1674.56258
1/13/09,15,2.97243,1634.76479,1637.73722
1/13/09,16,3.08308,1730.06941,1733.15249
1/13/09,17,3.57585,1835.15416,1838.73001
1/13/09,18,4.31845,2324.24123,2328.55968
1/13/09,19,4.68893,2467.3205,2472.00943
1/13/09,20,4.70973,2537.29187,2542.0016
1/13/09,21,4.54241,2452.35624,2456.89865
1/13/09,22,4.4112,2374.88626,2379.29746
1/13/09,23,3.90634,2143.52837,2147.43471
1/13/09,24,3.28346,1915.44149,1918.72495
1/14/09,1,2.9111,1711.098,1714.0091
1/14/09,2,2.80858,1742.47074,1745.27932
1/14/09,3,2.79347,1696.69648,1699.48995
1/14/09,4,2.811,1819.75479,1822.56579
1/14/09,5,2.87873,1874.53464,1877.41337
1/14/09,6,3.2756,2095.82925,2099.10485
1/14/09,7,3.84649,2370.98856,2374.83505
1/14/09,8,4.15291,2562.89357,2567.04648
1/14/09,9,3.84307,2368.69384,2372.53691
1/14/09,10,3.46257,2193.72948,2197.19205
1/14/09,11,3.31312,2085.98416,2089.29728
1/14/09,12,3.31628,1978.26642,1981.5827
1/14/09,13,3.21,1943.53771,1946.74771
1/14/09,14,3.1637,1896.23568,1899.39938
1/14/09,15,3.26252,1946.51046,1949.77298
1/14/09,16,3.31456,1959.25883,1962.57339
1/14/09,17,3.89157,2206.76095,2210.65252
1/14/09,18,4.73586,2672.84778,2677.58364
1/14/09,19,4.96488,2846.33606,2851.30094
1/14/09,20,4.9054,2755.13324,2760.03864
1/14/09,21,4.8041,2684.73823,2689.54233
1/14/09,22,4.58456,2619.75224,2624.3368
1/14/09,23,4.24605,2409.03028,2413.27633
1/14/09,24,3.56467,2150.87158,2154.43625
1/15/09,1,3.22722,1959.25872,1962.48594
1/15/09,2,3.13595,1924.05778,1927.19373
1/15/09,3,2.94713,1759.19633,1762.14346
1/15/09,4,2.98799,1912.70036,1915.68835
1/15/09,5,3.05133,1945.02136,1948.07269
1/15/09,6,3.37758,2115.03692,2118.4145
1/15/09,7,3.90424,2351.50456,2355.4088
1/15/09,8,4.15659,2559.95534,2564.11193
1/15/09,9,3.8605,2404.56324,2408.42374
1/15/09,10,3.52747,2233.24117,2236.76864
1/15/09,11,3.41993,2144.2121,2147.63203
1/15/09,12,3.39726,2111.2615,2114.65876
1/15/09,13,3.39897,2143.38353,2146.7825
1/15/09,14,3.35891,2037.16175,2040.52066
1/15/09,15,3.55111,2206.80192,2210.35303
1/15/09,16,3.50454,2158.76795,2162.27249
1/15/09,17,3.97985,2375.1072,2379.08705
1/15/09,18,4.68379,2768.34249,2773.02628
1/15/09,19,4.99496,2940.02974,2945.0247
1/15/09,20,5.06809,2921.28734,2926.35543
1/15/09,21,4.90996,2860.65512,2865.56508
1/15/09,22,4.62618,2749.28551,2753.91169
1/15/09,23,4.36372,2565.23676,2569.60048
1/15/09,24,3.72372,2344.22199,2347.94571
1/16/09,1,3.50171,2246.70241,2250.20412
1/16/09,2,3.25721,2087.37715,2090.63436
1/16/09,3,3.16475,2071.59044,2074.75519
1/16/09,4,3.23945,2076.86286,2080.10231
1/16/09,5,3.35151,2116.20552,2119.55703
1/16/09,6,3.55557,2189.61953,2193.1751
1/16/09,7,4.14444,2545.19214,2549.33658
1/16/09,8,4.26376,2678.42385,2682.68761
1/16/09,9,3.92697,2475.72289,2479.64986
1/16/09,10,3.48194,2232.45045,2235.93239
1/16/09,11,3.70211,2345.24671,2348.94882
1/16/09,12,3.5895,2254.26663,2257.85613
1/16/09,13,3.50677,2148.11836,2151.62513
1/16/09,14,3.4655,2169.05975,2172.52525
1/16/09,15,3.42944,2149.55446,2152.9839
1/16/09,16,3.72634,2188.59643,2192.32277
1/16/09,17,4.12239,2619.58291,2623.7053
1/16/09,18,4.80958,2940.82746,2945.63704
1/16/09,19,5.20284,3020.82605,3026.02889
1/16/09,20,4.9707,3022.79403,3027.76473
1/16/09,21,5.01594,3080.13018,3085.14612
1/16/09,22,4.99076,2924.06961,2929.06037
1/16/09,23,4.64014,2763.44234,2768.08248
1/16/09,24,4.03427,2525.3304,2529.36467
1/17/09,1,3.85655,2374.79017,2378.64672
1/17/09,2,3.89784,2354.25917,2358.15701
1/17/09,3,3.79922,2347.36,2351.15922
1/17/09,4,3.63702,2184.51295,2188.14997
1/17/09,5,3.70781,2307.82371,2311.53152
1/17/09,6,3.67722,2335.87388,2339.5511
1/17/09,7,3.92553,2441.46409,2445.38962
1/17/09,8,4.18922,2599.04697,2603.23619
1/17/09,9,4.25055,2584.03275,2588.2833
1/17/09,10,4.25367,2539.81682,2544.07049
1/17/09,11,4.40998,2652.09,2656.49998
1/17/09,12,4.39454,2591.44989,2595.84443
1/17/09,13,4.22695,2488.38298,2492.60993
1/17/09,14,4.17758,2483.59777,2487.77535
1/17/09,15,4.21058,2458.75164,2462.96222
1/17/09,16,4.34212,2476.09431,2480.43643
1/17/09,17,4.72971,2665.06475,2669.79446
1/17/09,18,5.1442,2868.96754,2874.11174
1/17/09,19,5.31929,2981.1533,2986.47259
1/17/09,20,5.27292,2951.85223,2957.12515
1/17/09,21,5.16255,2940.57984,2945.74239
1/17/09,22,4.95768,2794.09867,2799.05635
1/17/09,23,4.54606,2556.51555,2561.06161
1/17/09,24,4.08573,2414.64109,2418.72682
1/18/09,1,3.7272,2196.61971,2200.34691
1/18/09,2,3.39402,2011.59639,2014.99041
1/18/09,3,3.29643,1852.29904,1855.59547
1/18/09,4,3.16933,1921.63704,1924.80637
1/18/09,5,3.12616,1848.15588,1851.28204
1/18/09,6,3.07863,1856.16162,1859.24025
1/18/09,7,3.26797,1953.85048,1957.11845
1/18/09,8,3.56187,2130.70145,2134.26332
1/18/09,9,3.97529,2340.27237,2344.24766
1/18/09,10,4.1961,2460.85846,2465.05456
1/18/09,11,4.33387,2505.34076,2509.67463
1/18/09,12,4.3742,2499.15839,2503.53259
1/18/09,13,4.39645,2502.98633,2507.38278
1/18/09,14,4.41073,2527.34637,2531.7571
1/18/09,15,4.2021,2322.92606,2327.12816
1/18/09,16,4.24824,2346.27358,2350.52182
1/18/09,17,4.51573,2458.48285,2462.99858
1/18/09,18,4.88742,2660.54659,2665.43401
1/18/09,19,4.97555,2674.41272,2679.38827
1/18/09,20,4.97732,2695.33864,2700.31596
1/18/09,21,4.90206,2639.12831,2644.03037
1/18/09,22,4.59483,2487.55555,2492.15038
1/18/09,23,4.10093,2232.55858,2236.65951
1/18/09,24,3.63338,1986.29586,1989.92924
1/19/09,1,3.25179,1849.22556,1852.47735
1/19/09,2,3.05797,1707.78423,1710.8422
1/19/09,3,3.01622,1647.61232,1650.62854
1/19/09,4,2.91814,1639.15023,1642.06837
1/19/09,5,2.98898,1673.0399,1676.02888
1/19/09,6,3.04821,1783.29207,1786.34028
1/19/09,7,3.39555,1975.98971,1979.38526
1/19/09,8,3.85812,2250.09584,2253.95396
1/19/09,9,4.09129,2371.56907,2375.66036
1/19/09,10,4.249,2465.36289,2469.61189
1/19/09,11,4.31442,2467.52359,2471.83801
1/19/09,12,4.37522,2527.23704,2531.61226
1/19/09,13,4.55566,2556.03529,2560.59095
1/19/09,14,4.55114,2592.0811,2596.63224
1/19/09,15,4.38313,2422.67292,2427.05605
1/19/09,16,4.50329,2537.85192,2542.35521
1/19/09,17,4.88151,2706.49373,2711.37524
1/19/09,18,5.39343,3040.36783,3045.76126
1/19/09,19,5.44961,3019.19957,3024.64918
1/19/09,20,5.45706,3037.59959,3043.05665
1/19/09,21,5.18259,2906.03976,2911.22235
1/19/09,22,4.98532,2750.88963,2755.87495
1/19/09,23,4.45834,2471.76428,2476.22262
1/19/09,24,3.86796,2228.77434,2232.6423
1/20/09,1,3.33075,2038.97041,2042.30116
1/20/09,2,3.21305,2031.47974,2034.69279
1/20/09,3,3.20701,1977.61712,1980.82413
1/20/09,4,3.1711,2051.11137,2054.28247
1/20/09,5,3.20797,2101.90134,2105.10931
1/20/09,6,3.53812,2312.14342,2315.68154
1/20/09,7,3.99094,2489.52617,2493.51711
1/20/09,8,4.23059,2687.82109,2692.05168
1/20/09,9,3.98859,2491.3417,2495.33029
1/20/09,10,3.6214,2268.59831,2272.21971
1/20/09,11,3.45628,2173.21896,2176.67524
1/20/09,12,3.33869,2060.98079,2064.31948
1/20/09,13,3.21631,2009.29683,2012.51314
1/20/09,14,3.19889,1938.4044,1941.60329
1/20/09,15,3.28462,2000.20445,2003.48907
1/20/09,16,3.28073,1995.49431,1998.77504
1/20/09,17,3.72616,2230.90611,2234.63227
1/20/09,18,4.52762,2638.51907,2643.04669
1/20/09,19,4.94966,2867.41231,2872.36197
1/20/09,20,4.94296,2819.18959,2824.13255
1/20/09,21,4.68613,2738.83504,2743.52117
1/20/09,22,4.53498,2669.47327,2674.00825
1/20/09,23,4.21294,2460.96138,2465.17432
1/20/09,24,3.51336,2218.10525,2221.61861
1/21/09,1,3.37667,2081.39557,2084.77224
1/21/09,2,3.22942,2053.35399,2056.58341
1/21/09,3,3.20114,1988.74491,1991.94605
1/21/09,4,3.15906,2042.28354,2045.4426
1/21/09,5,3.2462,2074.69493,2077.94113
1/21/09,6,3.58883,2289.87959,2293.46842
1/21/09,7,4.11282,2516.23796,2520.35078
1/21/09,8,4.23947,2687.1695,2691.40897
1/21/09,9,3.86533,2452.31192,2456.17725
1/21/09,10,3.56069,2269.17327,2272.73396
1/21/09,11,3.39879,2165.54925,2168.94804
1/21/09,12,3.37676,2116.00904,2119.3858
1/21/09,13,3.32338,2094.90158,2098.22496
1/21/09,14,3.27774,1993.8367,1997.11444
1/21/09,15,3.39778,2089.88071,2093.27849
1/21/09,16,3.37168,2050.91881,2054.29049
1/21/09,17,3.81612,2251.71906,2255.53518
1/21/09,18,4.69308,2688.10717,2692.80025
1/21/09,19,5.05323,2915.99554,2921.04877
1/21/09,20,5.01994,2863.91378,2868.93372
1/21/09,21,4.86299,2811.29919,2816.16218
1/21/09,22,4.74758,2750.48234,2755.22992
1/21/09,23,4.27264,2483.077,2487.34964
1/21/09,24,3.56395,2250.12083,2253.68478
1/22/09,1,3.42764,2081.35104,2084.77868
1/22/09,2,3.30634,2070.99528,2074.30162
1/22/09,3,3.27293,2011.85776,2015.13069
1/22/09,4,3.23007,2067.49073,2070.7208
1/22/09,5,3.24711,2120.72211,2123.96922
1/22/09,6,3.58579,2244.98049,2248.56628
1/22/09,7,4.10668,2505.73249,2509.83917
1/22/09,8,4.31215,2656.59999,2660.91214
1/22/09,9,3.85479,2363.46638,2367.32117
1/22/09,10,3.4674,2138.01822,2141.48562
1/22/09,11,3.27076,2019.80489,2023.07565
1/22/09,12,3.18367,1882.15209,1885.33576
1/22/09,13,3.03606,1780.4092,1783.44526
1/22/09,14,2.93294,1718.26812,1721.20106
1/22/09,15,2.93037,1705.62354,1708.55391
1/22/09,16,2.9474,1706.51587,1709.46327
1/22/09,17,3.30372,1831.16404,1834.46776
1/22/09,18,4.16071,2301.84837,2306.00908
1/22/09,19,4.57347,2487.81298,2492.38645
1/22/09,20,4.62269,2572.87585,2577.49854
1/22/09,21,4.49652,2558.61959,2563.11611
1/22/09,22,4.32473,2458.49098,2462.81571
1/22/09,23,3.94098,2232.1483,2236.08928
1/22/09,24,3.43322,2029.62069,2033.05391
1/23/09,1,3.05343,1759.86577,1762.9192
1/23/09,2,2.7669,1598.03498,1600.80188
1/23/09,3,2.72576,1540.3101,1543.03586
1/23/09,4,2.72563,1605.75357,1608.4792
1/23/09,5,2.85279,1657.37064,1660.22343
1/23/09,6,3.14929,1812.47052,1815.61981
1/23/09,7,3.6245,2073.94883,2077.57333
1/23/09,8,3.80831,2210.23971,2214.04802
1/23/09,9,3.5765,2086.02706,2089.60356
1/23/09,10,3.10677,1806.11705,1809.22382
1/23/09,11,2.77533,1619.23056,1622.00589
1/23/09,12,2.62885,1498.87605,1501.5049
1/23/09,13,2.52278,1371.20768,1373.73046
1/23/09,14,2.47175,1376.31936,1378.79111
1/23/09,15,2.40546,1292.60955,1295.01501
1/23/09,16,2.43613,1358.88208,1361.31821
1/23/09,17,2.91945,1574.53264,1577.45209
1/23/09,18,3.70223,1954.41844,1958.12067
1/23/09,19,3.94684,2063.52244,2067.46928
1/23/09,20,3.89169,2097.09328,2100.98497
1/23/09,21,3.89524,2107.07264,2110.96788
1/23/09,22,3.74418,2045.46193,2049.20611
1/23/09,23,3.42369,1886.1091,1889.53279
1/23/09,24,2.97171,1672.06861,1675.04032
1/24/09,1,2.65447,1479.9658,1482.62027
1/24/09,2,2.44719,1377.64663,1380.09382
1/24/09,3,2.35456,1315.89785,1318.25241
1/24/09,4,2.32854,1337.291,1339.61954
1/24/09,5,2.31277,1345.19444,1347.50721
1/24/09,6,2.25146,1216.25648,1218.50794
1/24/09,7,2.55445,1405.79295,1408.3474
1/24/09,8,2.89041,1638.2542,1641.14461
1/24/09,9,3.17249,1824.07587,1827.24836
1/24/09,10,3.4021,1942.54566,1945.94776
1/24/09,11,3.52107,2009.52125,2013.04232
1/24/09,12,3.48748,1977.38683,1980.87431
