"CENTRAL ELECTRICITY AUTHORITY",,,,,,,,,,
"OPERATION MONITORING DIVISION",,,,,,,,,,
"DAILY COAL REPORT",,,,,,,,,,
"Figures in 000 tonnes",,,,,,,,,,
"COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 03-Apr-2011 )",,,,,,,,,,
"Page 1 of2",,,,,,,,,,
,,,,,,,,,,
"REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"58","INTER MODAL","ENNORE TPS",450,30,6.9,21,3,"*","**","Less Receipt"
"59","INTER MODAL","METTUR TPS",840,30,13.6,26,2,"*","**","Less Receipt"
"60","INTER MODAL","NORTH CHENNAI TPS",630,30,10.4,21,2,"*","**","Less Receipt"
"61","INTER MODAL","TUTICORIN TPS",1050,30,18.5,11,1,"*","**","Less Receipt"
"TOTAL OF S.R.",12882.5,23,212.6,2025,10,7,4,,,
"EASTERN",,,,,,,,,,
"BIHAR",,,,,,,,,,
"62","RAIL","BARAUNI TPS",310,20,1.2,16,14,,,
"63","RAIL","MUZAFFARPUR TPS",220,20,1.7,2,1,"*","**","Less Receipt"
"64","PITHEAD","KAHALGAON TPS",2340,15,40.4,7,0,"*","**","Coal Transportation"
"JHARKHAND",,,,,,,,,,
"65","RAIL","PATRATU TPS",770,20,2.9,87,30,,,
"66","ROAD","TENUGHAT TPS",420,20,4.6,37,8,,,
"67","RAIL","BOKARO `B` TPS",630,20,9,366,41,,,
"68","RAIL","CHANDRAPURA(DVC)",890,20,8.1,14,2,"*","**","Less Receipt"
"TPS",,,,,,,,,,
"ORISSA",,,,,,,,,,
"69","PITHEAD","IB VALLEY TPS",420,15,7.8,107,14,,,
"70","PITHEAD","TALCHER (OLD) TPS",470,15,8.7,245,28,,,
"71","PITHEAD","TALCHER STPS",3000,15,52,373,7,,,
"72","RAIL","STERLITE TPP",1200,20,17.3,84,5,"*","Less Receipt",
"   ",,,,,,,,,,
"73","RAIL","DURGAPUR TPS",340,20,4.8,279,59,,,
"74","RAIL","MEJIA TPS",2340,20,28.9,0,0,"*","**","Higher Trun around"
"time",,,,,,,,,,
"75","RAIL","BAKRESWAR TPS",1050,25,17.3,154,9,,,
"76","RAIL","BANDEL TPS",450,20,4.9,33,7,,,
"77","RAIL","D.P.L. TPS",690,25,7.8,174,22,,,
"78","RAIL","KOLAGHAT TPS",1260,25,18.2,33,2,"*","**","Less Receipt"
"79","RAIL","SAGARDIGHI TPS",600,20,7.8,30,4,"*","Less import",
"80","RAIL","SANTALDIH TPS",730,20,6.4,45,7,,,
"81","RAIL","BUDGE BUDGE TPS",750,20,9.5,309,32,,,
"82","RAIL","NEW COSSIPORE TPS",160,20,1.3,19,15,,,
"83","RAIL","SOUTHERN REPL. TPS",135,20,2.3,44,19,,,
"84","RAIL","TITAGARH TPS",240,20,3.8,47,12,,,
"85","PITHEAD","FARAKKA STPS",2100,15,31.8,70,2,"*","**","Coal Transportation"
"TOTAL OF E.R.",21515,18,298.5,2576,9,8,6,,,
"ALL INDIA TOTAL",79362,22,1230,15062,12,30,17,,,
,,,,,,,,,,
"(*) Critical i.e. stock less than 7 days in",30,"TPSs","{Includes super critical also}",,,,,,,
"(**) Super Critical i.e. stock less than 4 days in",17,"TPSs",,,,,,,,
"CENTRAL ELECTRICITY AUTHORITY",,,,,,,,,,
"OPERATION MONITORING DIVISION",,,,,,,,,,
"DAILY COAL REPORT",,,,,,,,,,
"Figures in 000 tonnes",,,,,,,,,,
"COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 04-Apr-2011 )",,,,,,,,,,
"Page 1 of2",,,,,,,,,,
,,,,,,,,,,
"REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"STATE","TRANSPORT","THERMAL","(MW)","TIVE","REQUIRE","CRITICAL COAL",,,,
"POWER","STOCK","MENT","IN",0,"IN","COAL STOCK","STOCK",,,
"STATION","Reqd.","IN '000","TONNES","DAYS",,,,,,
"(DAYS)","TONNES","<7","<4",,,,,,,
,,,,,,,,,,
"NORTHERN",,,,,,,,,,
"DELHI",,,,,,,,,,
"1","RAIL","RAJGHAT TPS",135,20,2.5,4,2,"*","**","Less Receipt"
"2","RAIL","BADARPUR TPS",705,30,12.7,176,14,,,
"HARYANA",,,,,,,,,,
"3","RAIL","PANIPAT TPS",1360,25,21.7,51,2,"*","**","No import"
"4","RAIL","YAMUNA NAGAR TPS",600,25,8.1,88,11,,,
"5","RAIL","RAJIV GANDHI TPS",1200,25,15.6,64,4,"*","Coal Supply Affected",
"6","RAIL","INDIRA GANDHI STPP",500,25,6.9,213,31,,,
"PUNJAB",,,,,,,,,,
"7","RAIL","GH TPS (LEH.MOH.)",920,30,13,218,17,,,
"8","RAIL","ROPAR TPS",1260,25,20.2,521,26,,,
"9","RAIL","GND TPS(BHATINDA)",440,30,5.2,135,26,,,
"RAJASTHAN",,,,,,,,,,
"10","RAIL","KOTA TPS",1240,30,18.6,20,1,"*","**","Less import"
"11","RAIL","SURATGARH TPS",1500,30,20.8,149,7,,,
"12","RAIL","CHHABRA TPP",500,30,6.4,240,38,,,
"UTTAR PRADESH",,,,,,,,,,
"13","PITHEAD","ANPARA TPS",1630,15,25.4,316,12,,,
"14","RAIL","HARDUAGANJ TPS",220,25,2.8,92,33,,,
"15","RAIL","OBRA TPS",1372,20,13.9,223,16,,,
"16","RAIL","PANKI TPS",210,30,3.5,82,24,,,
"17","RAIL","PARICHHA TPS",640,30,9.2,287,31,,,
"18","RAIL","DADRI (NCTPP)",1820,30,26.6,91,3,"*","**","Less Receipt"
"19","PITHEAD","RIHAND STPS",2000,15,32.1,715,22,,,
"20","PITHEAD","SINGRAULI STPS",2000,15,32.6,633,19,,,
"21","RAIL","TANDA TPS",440,25,7.8,225,29,,,
"22","RAIL","UNCHAHAR TPS",1050,25,17.6,458,26,,,
"23","RAIL","ROSA TPP Ph-I",600,25,8.7,65,8,,,
"TOTAL OF N.R.",22342,24,331.9,5072,15,5,4,,,
"WESTERN",,,,,,,,,,
"CHHATTISGARH",,,,,,,,,,
"24","RAIL","DSPM TPS",500,15,8.7,116,13,,,
"25","PITHEAD","KORBA-II",440,15,8.7,91,11,,,
"26","PITHEAD","KORBA-WEST TPS",840,15,14.4,462,32,,,
"27","PITHEAD","KORBA STPS",2600,15,37.6,570,15,,,
"28","PITHEAD","SIPAT STPS",1000,20,17.3,604,35,,,
"29","RAIL","PATHADI TPP",600,15,8.7,522,60,,,
"30","RAIL","BHILAI TPS",500,25,7.8,152,20,,,
"GUJARAT",,,,,,,,,,
"31","RAIL","GANDHI NAGAR TPS",870,30,14.2,87,6,"*","Less Receipt",
"32","RAIL","UKAI TPS",850,30,12.1,63,5,"*","Higher Generation",
"33","RAIL","SIKKA REP. TPS",240,30,3.8,19,5,"*","Less Receipt",
"34","RAIL","WANAKBORI TPS",1470,30,22.5,122,5,"*","Less Receipt",
"35","RAIL","SABARMATI (C",400,30,6.4,89,14,,,
"STATION)",,,,,,,,,,
"MADHYA PRADESH",,,,,,,,,,
"36","PITHEAD","AMARKANTAK EXT TPS",450,15,5.2,167,32,,,
"37","RAIL","SANJAY GANDHI TPS",1340,20,18.5,30,2,"*","**","Less import"
"38","RAIL","SATPURA TPS",1142.5,20,17.9,130,7,,,
"39","PITHEAD","VINDHYACHAL STPS",3260,15,54,735,14,,,
"MAHARASHTRA",,,,,,,,,,
"40","RAIL","BHUSAWAL TPS",470,20,7.5,251,33,,,
"41","RAIL","CHANDRAPUR(MAHAR",2340,20,39,449,12,,,
"ASHTRA) STPS",,,,,,,,,,
"42","RAIL","KHAPARKHEDA TPS- II",840,25,15.6,33,2,"*","**","Less Receipt"
"Page 2 of2",,,,,,,,,,
,,,,,,,,,,
" REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"STATE","TRANSPORT","THERMAL","(MW)","TIVE","REQUIRE","CRITICAL COAL",,,,
"POWER","STOCK","MENT","IN",0,"IN","COAL STOCK","STOCK",,,
"STATION","Reqd.","IN '000","TONNES","DAYS",,,,,,
"(DAYS)","TONNES","<7","<4",,,,,,,
,,,,,,,,,,
"43","RAIL","KORADI TPS",1040,25,13.9,243,18,,,
"44","RAIL","NASIK TPS",880,25,13.6,218,16,,,
"45","RAIL","PARLI TPS",1170,25,16.7,99,6,"*","Less Receipt",
"46","RAIL","PARAS TPS",555,25,7.5,139,19,,,
"47","RAIL","DAHANU TPS",500,25,9.2,22,2,"*","**","Less Receipt - SECL"
"48","RAIL","WARDHA WARORA",405,20,6.6,29,4,"*","Supply not started",
"TOTAL OF W.R.",24702.5,21,387.4,5442,14,9,3,,,
"SOUTHERN",,,,,,,,,,
"ANDHRA PRADESH",,,,,,,,,,
"49","RAIL","Dr. N.TATA RAO TPS",1760,20,26,145,6,"*","Less Receipt",
"50","RAIL","KOTHAGUDEM TPS",1220,20,18.9,395,21,,,
"51","ROAD","RAMAGUNDEM - B TPS",62.5,20,1,5,5,"*","Less Receipt",
"52","RAIL","RAYALASEEMA TPS",1050,25,16.5,137,8,,,
"53","PITHEAD","RAMAGUNDEM STPS",2600,15,38.1,495,13,,,
"54","RAIL","SIMHADRI",1500,25,23.1,115,5,"*","Less Receipt",
"55","PITHEAD","KAKATIYA TPS",500,15,5.8,109,19,,,
"KARNATAKA",,,,,,,,,,
"56","RAIL","RAICHUR TPS",1720,30,25.1,475,19,,,
"57","RAIL","BELLARY TPS",500,20,8.7,79,9,,,
"TAMIL NADU",,,,,,,,,,
"58","INTER MODAL","ENNORE TPS",450,30,6.9,20,3,"*","**","Less Receipt"
"59","INTER MODAL","METTUR TPS",840,30,13.6,114,8,,,
"60","INTER MODAL","NORTH CHENNAI TPS",630,30,10.4,86,8,,,
"61","INTER MODAL","TUTICORIN TPS",1050,30,18.5,63,3,"*","**","Less Receipt"
"TOTAL OF S.R.",13882.5,23,212.6,2239,11,5,2,,,
"EASTERN",,,,,,,,,,
"BIHAR",,,,,,,,,,
"62","RAIL","BARAUNI TPS",310,20,1.2,16,14,,,
"63","RAIL","MUZAFFARPUR TPS",220,20,1.7,4,2,"*","**","Less Receipt"
"64","PITHEAD","KAHALGAON TPS",2340,15,40.4,13,0,"*","**","Coal Transportation"
"JHARKHAND",,,,,,,,,,
"65","RAIL","PATRATU TPS",770,20,2.9,85,29,,,
"66","ROAD","TENUGHAT TPS",420,20,4.6,37,8,,,
"67","RAIL","BOKARO `B` TPS",630,20,9,365,41,,,
"68","RAIL","CHANDRAPURA(DVC)",890,20,8.1,10,1,"*","**","Less Receipt"
"TPS",,,,,,,,,,
"ORISSA",,,,,,,,,,
"69","PITHEAD","IB VALLEY TPS",420,15,7.8,105,13,,,
"70","PITHEAD","TALCHER (OLD) TPS",470,15,8.7,243,28,,,
"71","PITHEAD","TALCHER STPS",3000,15,52,382,7,,,
"72","RAIL","STERLITE TPP",1200,20,17.3,84,5,"*","Less Receipt",
"WEST BENGAL",,,,,,,,,,
"73","RAIL","DURGAPUR TPS",340,20,4.8,286,60,,,
"74","RAIL","MEJIA TPS",2340,20,28.9,0,0,"*","**","Higher Trun around"
"time",,,,,,,,,,
"75","RAIL","BAKRESWAR TPS",1050,25,17.3,158,9,,,
"76","RAIL","BANDEL TPS",450,20,4.9,33,7,,,
"77","RAIL","D.P.L. TPS",690,25,7.8,178,23,,,
"78","RAIL","KOLAGHAT TPS",1260,25,18.2,35,2,"*","**","Less Receipt"
"79","RAIL","SAGARDIGHI TPS",600,20,7.8,32,4,"*","Less import",
"80","RAIL","SANTALDIH TPS",730,20,6.4,42,7,,,
"81","RAIL","BUDGE BUDGE TPS",750,20,9.5,307,32,,,
"82","RAIL","NEW COSSIPORE TPS",160,20,1.3,19,14,,,
"83","RAIL","SOUTHERN REPL. TPS",135,20,2.3,46,20,,,
"84","RAIL","TITAGARH TPS",240,20,3.8,43,12,,,
"85","PITHEAD","FARAKKA STPS",2100,15,31.8,78,2,"*","**","Coal Transportation"
"TOTAL OF E.R.",21515,18,298.5,2600,9,8,6,,,
"ALL INDIA TOTAL",82442,22,1230,15353,12,27,15,,,
,,,,,,,,,,
"(*) Critical i.e. stock less than 7 days in",27,"TPSs","{Includes super critical also}",,,,,,,
"(**) Super Critical i.e. stock less than 4 days in",15,"TPSs",,,,,,,,
"CENTRAL ELECTRICITY AUTHORITY",,,,,,,,,,
"OPERATION MONITORING DIVISION",,,,,,,,,,
"DAILY COAL REPORT",,,,,,,,,,
"Figures in 000 tonnes",,,,,,,,,,
"COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 05-Apr-2011 )",,,,,,,,,,
"Page 1 of2",,,,,,,,,,
,,,,,,,,,,
"REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"STATE","TRANSPORT","THERMAL","(MW)","TIVE","REQUIRE","CRITICAL COAL",,,,
"POWER","STOCK","MENT","IN",0,"IN","COAL STOCK","STOCK",,,
"STATION","Reqd.","IN '000","TONNES","DAYS",,,,,,
"(DAYS)","TONNES","<7","<4",,,,,,,
,,,,,,,,,,
"NORTHERN",,,,,,,,,,
"DELHI",,,,,,,,,,
"1","RAIL","RAJGHAT TPS",135,20,2.5,2,1,"*","**","Less Receipt"
"2","RAIL","BADARPUR TPS",705,30,12.7,175,14,,,
"HARYANA",,,,,,,,,,
"3","RAIL","PANIPAT TPS",1360,25,21.7,56,3,"*","**","No import"
"4","RAIL","YAMUNA NAGAR TPS",600,25,8.1,89,11,,,
"5","RAIL","RAJIV GANDHI TPS",1200,25,15.6,71,5,"*","Coal Supply Affected",
"6","RAIL","INDIRA GANDHI STPP",500,25,6.9,213,31,,,
"PUNJAB",,,,,,,,,,
"7","RAIL","GH TPS (LEH.MOH.)",920,30,13,212,16,,,
"8","RAIL","ROPAR TPS",1260,25,20.2,516,26,,,
"9","RAIL","GND TPS(BHATINDA)",440,30,5.2,141,27,,,
"RAJASTHAN",,,,,,,,,,
"10","RAIL","KOTA TPS",1240,30,18.6,21,1,"*","**","Less import"
"11","RAIL","SURATGARH TPS",1500,30,20.8,158,8,,,
"12","RAIL","CHHABRA TPP",500,30,6.4,238,37,,,
"UTTAR PRADESH",,,,,,,,,,
"13","PITHEAD","ANPARA TPS",1630,15,25.4,329,13,,,
"14","RAIL","HARDUAGANJ TPS",220,25,2.8,92,33,,,
"15","RAIL","OBRA TPS",1372,20,13.9,227,16,,,
"16","RAIL","PANKI TPS",210,30,3.5,82,24,,,
"17","RAIL","PARICHHA TPS",640,30,9.2,288,31,,,
"18","RAIL","DADRI (NCTPP)",1820,30,26.6,93,4,"*","Less Receipt",
"19","PITHEAD","RIHAND STPS",2000,15,32.1,712,22,,,
"20","PITHEAD","SINGRAULI STPS",2000,15,32.6,632,19,,,
"21","RAIL","TANDA TPS",440,25,7.8,237,30,,,
"22","RAIL","UNCHAHAR TPS",1050,25,17.6,466,26,,,
"23","RAIL","ROSA TPP Ph-I",600,25,8.7,58,7,,,
"TOTAL OF N.R.",22342,24,331.9,5109,15,5,3,,,
"WESTERN",,,,,,,,,,
"CHHATTISGARH",,,,,,,,,,
"24","RAIL","DSPM TPS",500,15,8.7,117,14,,,
"25","PITHEAD","KORBA-II",440,15,8.7,91,10,,,
"26","PITHEAD","KORBA-WEST TPS",840,15,14.4,460,32,,,
"27","PITHEAD","KORBA STPS",2600,15,37.6,565,15,,,
"28","PITHEAD","SIPAT STPS",1000,20,17.3,604,35,,,
"29","RAIL","PATHADI TPP",600,15,8.7,522,60,,,
"30","RAIL","BHILAI TPS",500,25,7.8,148,19,,,
"GUJARAT",,,,,,,,,,
"31","RAIL","GANDHI NAGAR TPS",870,30,14.2,72,5,"*","Less Receipt",
"32","RAIL","UKAI TPS",850,30,12.1,66,5,"*","Higher Generation",
"33","RAIL","SIKKA REP. TPS",240,30,3.8,20,5,"*","Less Receipt",
"34","RAIL","WANAKBORI TPS",1470,30,22.5,116,5,"*","Less Receipt",
"35","RAIL","SABARMATI (C",400,30,6.4,88,14,,,
"STATION)",,,,,,,,,,
"MADHYA PRADESH",,,,,,,,,,
"36","PITHEAD","AMARKANTAK EXT TPS",450,15,5.2,168,32,,,
"37","RAIL","SANJAY GANDHI TPS",1340,20,18.5,30,2,"*","**","Less import"
"38","RAIL","SATPURA TPS",1142.5,20,17.9,129,7,,,
"39","PITHEAD","VINDHYACHAL STPS",3260,15,54,732,14,,,
"MAHARASHTRA",,,,,,,,,,
"40","RAIL","BHUSAWAL TPS",470,20,7.5,248,33,,,
"41","RAIL","CHANDRAPUR(MAHAR",2340,20,39,444,11,,,
"ASHTRA) STPS",,,,,,,,,,
"42","RAIL","KHAPARKHEDA TPS- II",840,25,15.6,32,2,"*","**","Less Receipt"
"Page 2 of2",,,,,,,,,,
,,,,,,,,,,
" REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"STATE","TRANSPORT","THERMAL","(MW)","TIVE","REQUIRE","CRITICAL COAL",,,,
"POWER","STOCK","MENT","IN",0,"IN","COAL STOCK","STOCK",,,
"STATION","Reqd.","IN '000","TONNES","DAYS",,,,,,
"(DAYS)","TONNES","<7","<4",,,,,,,
,,,,,,,,,,
"43","RAIL","KORADI TPS",1040,25,13.9,245,18,,,
"44","RAIL","NASIK TPS",880,25,13.6,217,16,,,
"45","RAIL","PARLI TPS",1170,25,16.7,101,6,"*","Less Receipt",
"46","RAIL","PARAS TPS",555,25,7.5,139,19,,,
"47","RAIL","DAHANU TPS",500,25,9.2,22,2,"*","**","Less Receipt - SECL"
"48","RAIL","WARDHA WARORA",405,20,6.6,37,6,"*","Supply not started",
"TOTAL OF W.R.",24702.5,21,387.4,5414,14,9,3,,,
"SOUTHERN",,,,,,,,,,
"ANDHRA PRADESH",,,,,,,,,,
"49","RAIL","Dr. N.TATA RAO TPS",1760,20,26,132,5,"*","Less Receipt",
"50","RAIL","KOTHAGUDEM TPS",1220,20,18.9,381,20,,,
"51","ROAD","RAMAGUNDEM - B TPS",62.5,20,1,5,5,"*","Less Receipt",
"52","RAIL","RAYALASEEMA TPS",1050,25,16.5,147,9,,,
"53","PITHEAD","RAMAGUNDEM STPS",2600,15,38.1,505,13,,,
"54","RAIL","SIMHADRI",1500,25,23.1,116,5,"*","Less Receipt",
"55","PITHEAD","KAKATIYA TPS",500,15,5.8,109,19,,,
"KARNATAKA",,,,,,,,,,
"56","RAIL","RAICHUR TPS",1720,30,25.1,476,19,,,
"57","RAIL","BELLARY TPS",500,20,8.7,72,8,,,
"TAMIL NADU",,,,,,,,,,
"58","INTER MODAL","ENNORE TPS",450,30,6.9,18,3,"*","**","Less Receipt"
"59","INTER MODAL","METTUR TPS",840,30,13.6,119,9,,,
"60","INTER MODAL","NORTH CHENNAI TPS",630,30,10.4,83,8,,,
"61","INTER MODAL","TUTICORIN TPS",1050,30,18.5,62,3,"*","**","Less Receipt"
"TOTAL OF S.R.",13882.5,23,212.6,2224,10,5,2,,,
"EASTERN",,,,,,,,,,
"BIHAR",,,,,,,,,,
"62","RAIL","BARAUNI TPS",310,20,1.2,18,15,,,
"63","RAIL","MUZAFFARPUR TPS",220,20,1.7,2,1,"*","**","Less Receipt"
"64","PITHEAD","KAHALGAON TPS",2340,15,40.4,6,0,"*","**","Coal Transportation"
"JHARKHAND",,,,,,,,,,
"65","RAIL","PATRATU TPS",770,20,2.9,85,29,,,
"66","ROAD","TENUGHAT TPS",420,20,4.6,37,8,,,
"67","RAIL","BOKARO `B` TPS",630,20,9,364,41,,,
"68","RAIL","CHANDRAPURA(DVC)",890,20,8.1,9,1,"*","**","Less Receipt"
"TPS",,,,,,,,,,
"ORISSA",,,,,,,,,,
"69","PITHEAD","IB VALLEY TPS",420,15,7.8,109,14,,,
"70","PITHEAD","TALCHER (OLD) TPS",470,15,8.7,236,27,,,
"71","PITHEAD","TALCHER STPS",3000,15,52,398,8,,,
"72","RAIL","STERLITE TPP",1200,20,17.3,84,5,"*","Less Receipt",
"WEST BENGAL",,,,,,,,,,
"73","RAIL","DURGAPUR TPS",340,20,4.8,286,60,,,
"74","RAIL","MEJIA TPS",2340,20,28.9,0,0,"*","**","Higher Trun around"
"time",,,,,,,,,,
"75","RAIL","BAKRESWAR TPS",1050,25,17.3,159,9,,,
"76","RAIL","BANDEL TPS",450,20,4.9,34,7,,,
"77","RAIL","D.P.L. TPS",690,25,7.8,184,24,,,
"78","RAIL","KOLAGHAT TPS",1260,25,18.2,39,2,"*","**","Less Receipt"
"79","RAIL","SAGARDIGHI TPS",600,20,7.8,34,4,"*","Less import",
"80","RAIL","SANTALDIH TPS",730,20,6.4,41,6,"*","Less import",
"81","RAIL","BUDGE BUDGE TPS",750,20,9.5,304,32,,,
"82","RAIL","NEW COSSIPORE TPS",160,20,1.3,18,14,,,
"83","RAIL","SOUTHERN REPL. TPS",135,20,2.3,44,19,,,
"84","RAIL","TITAGARH TPS",240,20,3.8,44,12,,,
"85","PITHEAD","FARAKKA STPS",2100,15,31.8,88,3,"*","**","Coal Transportation"
"TOTAL OF E.R.",21515,18,298.5,2625,9,9,6,,,
