01-01-2011,A. NTPC,Station/Constituents,Installed Capacity,Declared Capacity (MW),Peak MW,Off Peak MW,Energy (MU),Average (MW),Schedule,UI
03-01-2011,I. Total Central (A-F),I. Total Central (A-F),400,125,301,0,3.02,126,3.00,0.02
04-01-2011,A. NTPC,Station/Constituents,Installed Capacity,Declared Capacity (MW),Peak MW,Off Peak MW,Energy (MU),Average (MW),Schedule,UI
04-01-2011,A. NTPC,Station/Constituents,Effective(MW),Declared Capacity (MW),(Gross),(Gross),(Net MU),Sentout(MW),Net MU,Net MU
04-01-2011,A. NTPC,Singrauli STPS,2000,1430,1550,1375,33.87,1411,33.56,0.30
04-01-2011,A. NTPC,Rihand I STPS,1000,945,896,735,20.22,842,19.99,0.23
04-01-2011,A. NTPC,Rihand II STPS,1000,975,917,746,20.77,866,20.49,0.28
04-01-2011,A. NTPC,Rihand III STPS,1000,478,499,407,10.63,443,10.28,0.35
04-01-2011,A. NTPC,Dadri I STPS,840,815,705,597,14.96,624,15.52,-0.55
04-01-2011,A. NTPC,Dadri II STPS,980,980,871,724,19.14,797,19.81,-0.67
04-01-2011,A. NTPC,Unchahar I TPS,420,408,430,323,8.14,339,8.15,-0.01
04-01-2011,A. NTPC,Unchahar II TPS,420,406,406,311,7.64,318,7.65,-0.01
04-01-2011,A. NTPC,Unchahar III TPS,210,203,188,156,3.75,156,3.76,-0.01
04-01-2011,A. NTPC,ISTPP (Jhajjhar),1500,1500,377,344,9.14,381,9.28,-0.14
04-01-2011,A. NTPC,Dadri GPS,830,830,193,203,4.52,188,4.75,-0.24
04-01-2011,A. NTPC,Anta GPS,419,417,0,0,0.00,0,0.00,0.00
04-01-2011,B. NHPC,,,,,,,,,
04-01-2011,B. NHPC,Auraiya GPS,663,663,156,163,3.68,153,3.76,-0.08
04-01-2011,B. NHPC,Sub Total (A),11282,10049,7188,6084,156.45,6519,156.99,-0.54
04-01-2011,B. NHPC,NAPS,440,135,156,160,3.22,134,3.24,-0.02
04-01-2011,B. NHPC,RAPS- B,440,418,459,461,9.95,414,10.03,-0.09
04-01-2011,B. NHPC,RAPS- C,440,430,473,478,10.25,427,10.32,-0.07
04-01-2011,B. NHPC,Sub Total (B),1320,983,1088,1099,23.42,976,23.59,-0.18
04-01-2011,B. NHPC,Chamera I HPS,540,540,540,0,4.98,207,4.95,0.03
04-01-2011,B. NHPC,Chamera II HPS,300,300,302,0,2.05,86,2.00,0.05
04-01-2011,B. NHPC,Chamera III HPS,231,231,143,0,0.99,41,0.95,0.04
04-01-2011,B. NHPC,Bairasuil HPS,180,182,182,121,2.75,115,2.80,-0.04
04-01-2011,C. Nathpa Jhakri,C. Nathpa Jhakri,690,408,449,444,9.94,414,9.79,0.15
04-01-2011,D. Tehri,D. Tehri,94,0,0,0,0.00,0,0.00,0.00
04-01-2011,E. BBMB,,,,,,,,,
04-01-2011,E. BBMB,Uri-HPS,480,451,476,472,11.07,461,10.72,0.35
04-01-2011,E. BBMB,Uri-II HPS,180,180,187,187,4.46,186,4.32,0.14
04-01-2011,E. BBMB,Dhauliganga-HPS,280,0,0,0,0.00,0,0.00,0.00
04-01-2011,E. BBMB,Dulhasti-HPS,390,387,404,0,2.46,102,2.40,0.06
04-01-2011,F. NPC,,,,,,,,,
04-01-2011,F. NPC,Sewa-II HPS,120,122,126,127,3.00,125,2.93,0.07
04-01-2011,F. NPC,Parbati 3,520,,0,0,0.00,0,,0.00
04-01-2011,F. NPC,Sub Total (C),4005,2800,2809,1351,42,1738,41,1
04-01-2011,F. NPC,Nathpa Jhakri,1500,1605,720,150,6.46,269,6.44,0.01
04-01-2011,G. AD HYDRO,G. AD HYDRO,1500,1605,720,150,6.46,269,6.44,0.01
04-01-2011,H. NLC,Tehri HPS,1000,624,631,0,7.56,315,7.50,0.06
04-01-2011,I. Total Central (A-F),I. Total Central (A-F),400,125,301,0,3.02,126,3.00,0.02
05-01-2011,A. NTPC,Station/Constituents,Installed Capacity,Declared Capacity (MW),Peak MW,Off Peak MW,Energy (MU),Average (MW),Schedule,UI
05-01-2011,A. NTPC,Station/Constituents,Effective(MW),Declared Capacity (MW),(Gross),(Gross),(Net MU),Sentout(MW),Net MU,Net MU
05-01-2011,A. NTPC,Singrauli STPS,2000,1430,1550,1375,33.87,1411,33.56,0.30
05-01-2011,A. NTPC,Rihand I STPS,1000,945,896,735,20.22,842,19.99,0.23
05-01-2011,A. NTPC,Rihand II STPS,1000,975,917,746,20.77,866,20.49,0.28
05-01-2011,A. NTPC,Rihand III STPS,1000,478,499,407,10.63,443,10.28,0.35
05-01-2011,A. NTPC,Dadri I STPS,840,815,705,597,14.96,624,15.52,-0.55
05-01-2011,A. NTPC,Dadri II STPS,980,980,871,724,19.14,797,19.81,-0.67
05-01-2011,A. NTPC,Unchahar I TPS,420,408,430,323,8.14,339,8.15,-0.01
05-01-2011,A. NTPC,Unchahar II TPS,420,406,406,311,7.64,318,7.65,-0.01
05-01-2011,A. NTPC,Unchahar III TPS,210,203,188,156,3.75,156,3.76,-0.01
05-01-2011,A. NTPC,ISTPP (Jhajjhar),1500,1500,377,344,9.14,381,9.28,-0.14
05-01-2011,A. NTPC,Dadri GPS,830,830,193,203,4.52,188,4.75,-0.24
05-01-2011,A. NTPC,Anta GPS,419,417,0,0,0.00,0,0.00,0.00
05-01-2011,B. NHPC,,,,,,,,,
05-01-2011,B. NHPC,Auraiya GPS,663,663,156,163,3.68,153,3.76,-0.08
05-01-2011,B. NHPC,Sub Total (A),11282,10049,7188,6084,156.45,6519,156.99,-0.54
05-01-2011,B. NHPC,NAPS,440,135,156,160,3.22,134,3.24,-0.02
05-01-2011,B. NHPC,RAPS- B,440,418,459,461,9.95,414,10.03,-0.09
05-01-2011,B. NHPC,RAPS- C,440,430,473,478,10.25,427,10.32,-0.07
05-01-2011,B. NHPC,Sub Total (B),1320,983,1088,1099,23.42,976,23.59,-0.18
05-01-2011,B. NHPC,Chamera I HPS,540,540,540,0,4.98,207,4.95,0.03
05-01-2011,B. NHPC,Chamera II HPS,300,300,302,0,2.05,86,2.00,0.05
05-01-2011,B. NHPC,Chamera III HPS,231,231,143,0,0.99,41,0.95,0.04
05-01-2011,B. NHPC,Bairasuil HPS,180,182,182,121,2.75,115,2.80,-0.04
05-01-2011,C. Nathpa Jhakri,C. Nathpa Jhakri,690,408,449,444,9.94,414,9.79,0.15
05-01-2011,D. Tehri,D. Tehri,94,0,0,0,0.00,0,0.00,0.00
05-01-2011,E. BBMB,,,,,,,,,
05-01-2011,E. BBMB,Uri-HPS,480,451,476,472,11.07,461,10.72,0.35
05-01-2011,E. BBMB,Uri-II HPS,180,180,187,187,4.46,186,4.32,0.14
05-01-2011,E. BBMB,Dhauliganga-HPS,280,0,0,0,0.00,0,0.00,0.00
05-01-2011,E. BBMB,Dulhasti-HPS,390,387,404,0,2.46,102,2.40,0.06
05-01-2011,F. NPC,,,,,,,,,
05-01-2011,F. NPC,Sewa-II HPS,120,122,126,127,3.00,125,2.93,0.07
05-01-2011,F. NPC,Parbati 3,520,,0,0,0.00,0,,0.00
05-01-2011,F. NPC,Sub Total (C),4005,2800,2809,1351,42,1738,41,1
05-01-2011,F. NPC,Nathpa Jhakri,1500,1605,720,150,6.46,269,6.44,0.01
05-01-2011,G. AD HYDRO,G. AD HYDRO,1500,1605,720,150,6.46,269,6.44,0.01
05-01-2011,H. NLC,Tehri HPS,1000,624,631,0,7.56,315,7.50,0.06
05-01-2011,I. Total Central (A-F),I. Total Central (A-F),400,125,301,0,3.02,126,3.00,0.02
06-01-2011,A. NTPC,Station/Constituents,Installed Capacity,Declared Capacity (MW),Peak MW,Off Peak MW,Energy (MU),Average (MW),Schedule,UI
06-01-2011,A. NTPC,Station/Constituents,Effective(MW),Declared Capacity (MW),(Gross),(Gross),(Net MU),Sentout(MW),Net MU,Net MU
06-01-2011,A. NTPC,Singrauli STPS,2000,1430,1550,1375,33.87,1411,33.56,0.30
06-01-2011,A. NTPC,Rihand I STPS,1000,945,896,735,20.22,842,19.99,0.23
06-01-2011,A. NTPC,Rihand II STPS,1000,975,917,746,20.77,866,20.49,0.28
06-01-2011,A. NTPC,Rihand III STPS,1000,478,499,407,10.63,443,10.28,0.35
06-01-2011,A. NTPC,Dadri I STPS,840,815,705,597,14.96,624,15.52,-0.55
06-01-2011,A. NTPC,Dadri II STPS,980,980,871,724,19.14,797,19.81,-0.67
06-01-2011,A. NTPC,Unchahar I TPS,420,408,430,323,8.14,339,8.15,-0.01
06-01-2011,A. NTPC,Unchahar II TPS,420,406,406,311,7.64,318,7.65,-0.01
06-01-2011,A. NTPC,Unchahar III TPS,210,203,188,156,3.75,156,3.76,-0.01
06-01-2011,A. NTPC,ISTPP (Jhajjhar),1500,1500,377,344,9.14,381,9.28,-0.14
06-01-2011,A. NTPC,Dadri GPS,830,830,193,203,4.52,188,4.75,-0.24
06-01-2011,A. NTPC,Anta GPS,419,417,0,0,0.00,0,0.00,0.00
06-01-2011,B. NHPC,,,,,,,,,
06-01-2011,B. NHPC,Auraiya GPS,663,663,156,163,3.68,153,3.76,-0.08
06-01-2011,B. NHPC,Sub Total (A),11282,10049,7188,6084,156.45,6519,156.99,-0.54
06-01-2011,B. NHPC,NAPS,440,135,156,160,3.22,134,3.24,-0.02
06-01-2011,B. NHPC,RAPS- B,440,418,459,461,9.95,414,10.03,-0.09
06-01-2011,B. NHPC,RAPS- C,440,430,473,478,10.25,427,10.32,-0.07
06-01-2011,B. NHPC,Sub Total (B),1320,983,1088,1099,23.42,976,23.59,-0.18
06-01-2011,B. NHPC,Chamera I HPS,540,540,540,0,4.98,207,4.95,0.03
06-01-2011,B. NHPC,Chamera II HPS,300,300,302,0,2.05,86,2.00,0.05
06-01-2011,B. NHPC,Chamera III HPS,231,231,143,0,0.99,41,0.95,0.04
06-01-2011,B. NHPC,Bairasuil HPS,180,182,182,121,2.75,115,2.80,-0.04
06-01-2011,C. Nathpa Jhakri,C. Nathpa Jhakri,690,408,449,444,9.94,414,9.79,0.15
06-01-2011,D. Tehri,D. Tehri,94,0,0,0,0.00,0,0.00,0.00
06-01-2011,E. BBMB,,,,,,,,,
06-01-2011,E. BBMB,Uri-HPS,480,451,476,472,11.07,461,10.72,0.35
06-01-2011,E. BBMB,Uri-II HPS,180,180,187,187,4.46,186,4.32,0.14
06-01-2011,E. BBMB,Dhauliganga-HPS,280,0,0,0,0.00,0,0.00,0.00
06-01-2011,E. BBMB,Dulhasti-HPS,390,387,404,0,2.46,102,2.40,0.06
06-01-2011,F. NPC,,,,,,,,,
06-01-2011,F. NPC,Sewa-II HPS,120,122,126,127,3.00,125,2.93,0.07
06-01-2011,F. NPC,Parbati 3,520,,0,0,0.00,0,,0.00
06-01-2011,F. NPC,Sub Total (C),4005,2800,2809,1351,42,1738,41,1
06-01-2011,F. NPC,Nathpa Jhakri,1500,1605,720,150,6.46,269,6.44,0.01
06-01-2011,G. AD HYDRO,G. AD HYDRO,1500,1605,720,150,6.46,269,6.44,0.01
06-01-2011,H. NLC,Tehri HPS,1000,624,631,0,7.56,315,7.50,0.06
06-01-2011,I. Total Central (A-F),I. Total Central (A-F),400,125,301,0,3.02,126,3.00,0.02
07-01-2011,A. NTPC,Station/Constituents,Installed Capacity,Declared Capacity (MW),Peak MW,Off Peak MW,Energy (MU),Average (MW),Schedule,UI
07-01-2011,A. NTPC,Station/Constituents,Effective(MW),Declared Capacity (MW),(Gross),(Gross),(Net MU),Sentout(MW),Net MU,Net MU
07-01-2011,A. NTPC,Singrauli STPS,2000,1430,1550,1375,33.87,1411,33.56,0.30
07-01-2011,A. NTPC,Rihand I STPS,1000,945,896,735,20.22,842,19.99,0.23
07-01-2011,A. NTPC,Rihand II STPS,1000,975,917,746,20.77,866,20.49,0.28
07-01-2011,A. NTPC,Rihand III STPS,1000,478,499,407,10.63,443,10.28,0.35
07-01-2011,A. NTPC,Dadri I STPS,840,815,705,597,14.96,624,15.52,-0.55
07-01-2011,A. NTPC,Dadri II STPS,980,980,871,724,19.14,797,19.81,-0.67
07-01-2011,A. NTPC,Unchahar I TPS,420,408,430,323,8.14,339,8.15,-0.01
07-01-2011,A. NTPC,Unchahar II TPS,420,406,406,311,7.64,318,7.65,-0.01
07-01-2011,A. NTPC,Unchahar III TPS,210,203,188,156,3.75,156,3.76,-0.01
07-01-2011,A. NTPC,ISTPP (Jhajjhar),1500,1500,377,344,9.14,381,9.28,-0.14
07-01-2011,A. NTPC,Dadri GPS,830,830,193,203,4.52,188,4.75,-0.24
07-01-2011,A. NTPC,Anta GPS,419,417,0,0,0.00,0,0.00,0.00
07-01-2011,B. NHPC,,,,,,,,,
07-01-2011,B. NHPC,Auraiya GPS,663,663,156,163,3.68,153,3.76,-0.08
07-01-2011,B. NHPC,Sub Total (A),11282,10049,7188,6084,156.45,6519,156.99,-0.54
07-01-2011,B. NHPC,NAPS,440,135,156,160,3.22,134,3.24,-0.02
07-01-2011,B. NHPC,RAPS- B,440,418,459,461,9.95,414,10.03,-0.09
07-01-2011,B. NHPC,RAPS- C,440,430,473,478,10.25,427,10.32,-0.07
07-01-2011,B. NHPC,Sub Total (B),1320,983,1088,1099,23.42,976,23.59,-0.18
07-01-2011,B. NHPC,Chamera I HPS,540,540,540,0,4.98,207,4.95,0.03
07-01-2011,B. NHPC,Chamera II HPS,300,300,302,0,2.05,86,2.00,0.05
07-01-2011,B. NHPC,Chamera III HPS,231,231,143,0,0.99,41,0.95,0.04
07-01-2011,B. NHPC,Bairasuil HPS,180,182,182,121,2.75,115,2.80,-0.04
07-01-2011,C. Nathpa Jhakri,C. Nathpa Jhakri,690,408,449,444,9.94,414,9.79,0.15
07-01-2011,D. Tehri,D. Tehri,94,0,0,0,0.00,0,0.00,0.00
07-01-2011,E. BBMB,,,,,,,,,
07-01-2011,E. BBMB,Uri-HPS,480,451,476,472,11.07,461,10.72,0.35
07-01-2011,E. BBMB,Uri-II HPS,180,180,187,187,4.46,186,4.32,0.14
07-01-2011,E. BBMB,Dhauliganga-HPS,280,0,0,0,0.00,0,0.00,0.00
07-01-2011,E. BBMB,Dulhasti-HPS,390,387,404,0,2.46,102,2.40,0.06
07-01-2011,F. NPC,,,,,,,,,
07-01-2011,F. NPC,Sewa-II HPS,120,122,126,127,3.00,125,2.93,0.07
07-01-2011,F. NPC,Parbati 3,520,,0,0,0.00,0,,0.00
07-01-2011,F. NPC,Sub Total (C),4005,2800,2809,1351,42,1738,41,1
07-01-2011,F. NPC,Nathpa Jhakri,1500,1605,720,150,6.46,269,6.44,0.01
07-01-2011,G. AD HYDRO,G. AD HYDRO,1500,1605,720,150,6.46,269,6.44,0.01
07-01-2011,H. NLC,Tehri HPS,1000,624,631,0,7.56,315,7.50,0.06
07-01-2011,I. Total Central (A-F),I. Total Central (A-F),400,125,301,0,3.02,126,3.00,0.02
08-01-2011,A. NTPC,Station/Constituents,Installed Capacity,Declared Capacity (MW),Peak MW,Off Peak MW,Energy (MU),Average (MW),Schedule,UI
08-01-2011,A. NTPC,Station/Constituents,Effective(MW),Declared Capacity (MW),(Gross),(Gross),(Net MU),Sentout(MW),Net MU,Net MU
08-01-2011,A. NTPC,Singrauli STPS,2000,1430,1550,1375,33.87,1411,33.56,0.30
08-01-2011,A. NTPC,Rihand I STPS,1000,945,896,735,20.22,842,19.99,0.23
08-01-2011,A. NTPC,Rihand II STPS,1000,975,917,746,20.77,866,20.49,0.28
08-01-2011,A. NTPC,Rihand III STPS,1000,478,499,407,10.63,443,10.28,0.35
08-01-2011,A. NTPC,Dadri I STPS,840,815,705,597,14.96,624,15.52,-0.55
08-01-2011,A. NTPC,Dadri II STPS,980,980,871,724,19.14,797,19.81,-0.67
08-01-2011,A. NTPC,Unchahar I TPS,420,408,430,323,8.14,339,8.15,-0.01
08-01-2011,A. NTPC,Unchahar II TPS,420,406,406,311,7.64,318,7.65,-0.01
08-01-2011,A. NTPC,Unchahar III TPS,210,203,188,156,3.75,156,3.76,-0.01
08-01-2011,A. NTPC,ISTPP (Jhajjhar),1500,1500,377,344,9.14,381,9.28,-0.14
08-01-2011,A. NTPC,Dadri GPS,830,830,193,203,4.52,188,4.75,-0.24
08-01-2011,A. NTPC,Anta GPS,419,417,0,0,0.00,0,0.00,0.00
08-01-2011,B. NHPC,,,,,,,,,
08-01-2011,B. NHPC,Auraiya GPS,663,663,156,163,3.68,153,3.76,-0.08
08-01-2011,B. NHPC,Sub Total (A),11282,10049,7188,6084,156.45,6519,156.99,-0.54
08-01-2011,B. NHPC,NAPS,440,135,156,160,3.22,134,3.24,-0.02
08-01-2011,B. NHPC,RAPS- B,440,418,459,461,9.95,414,10.03,-0.09
08-01-2011,B. NHPC,RAPS- C,440,430,473,478,10.25,427,10.32,-0.07
08-01-2011,B. NHPC,Sub Total (B),1320,983,1088,1099,23.42,976,23.59,-0.18
08-01-2011,B. NHPC,Chamera I HPS,540,540,540,0,4.98,207,4.95,0.03
